Instance,Weight,Version,Path Length,Expanded,Necessary,Elapsed,Reopens,Generated
6,1.3,2,4051,1777046,2971050,15.6822,0,5394550
6,1.4,0,4009,1445490,1771898,11.0624,357303,4384656
6,1.4,1,4009,1176103,1668988,9.2582,152456,3574344
6,1.4,2,4009,880441,1445608,7.74776,0,2673762
6,1.5,0,4009,813300,956387,6.02692,229964,2464623
6,1.5,1,4009,617969,872812,4.45769,85670,1876460
6,1.5,2,4009,441810,725618,3.61205,0,1340407
6,1.6,0,4235,400076,472373,3.04745,132986,1215405
6,1.6,1,4235,287243,421491,1.87577,49384,874104
6,1.6,2,4235,184631,327801,1.36255,0,561076
6,1.7,0,4235,372243,394762,2.83377,149125,1132527
6,1.7,1,4235,254800,351095,2.30775,56927,776257
6,1.7,2,4235,143436,255724,1.54315,0,436805
6,1.8,0,4449,202758,213511,1.83591,84443,618837
6,1.8,1,4423,129404,191349,0.900995,23253,395277
6,1.8,2,4253,174575,299741,1.37616,0,532774
6,1.9,0,4581,93746,106420,0.558633,35617,285860
6,1.9,1,4557,117015,179148,0.903385,17524,358477
6,1.9,2,4663,74211,136007,0.652448,0,227599
6,1,0,3745,6877431,6776112,77.3377,20948,20760637
6,1,1,3745,6877431,6776112,77.4604,20948,20760637
6,1,2,3745,6877431,6776112,78.5151,20948,20760637
6,2,0,4581,44804,51781,0.375495,16427,136457
6,2,1,4615,40256,60549,0.394972,6470,122749
6,2,2,4663,29452,53609,0.305699,0,89981
6,3,0,4443,20478,20209,0.158622,6065,62052
6,3,1,4443,14718,18700,0.141106,1455,44799
6,3,2,4761,20942,32308,0.212769,0,63404
6,4,0,5015,273213,30304,1.76924,159664,821025
6,4,1,5015,50050,16822,0.423922,2223,150884
6,4,2,5015,34042,14448,0.236906,0,102604
6,5,0,5841,267963,45946,1.22861,124200,811324
6,5,1,5851,212155,62820,1.42029,17965,646867
6,5,2,5851,157632,45046,1.11488,0,480517
7,1.1,0,4028,12092956,14906295,98.5808,830832,37363915
7,1.1,1,4028,11513604,14790299,102.372,342634,35620646
7,1.1,2,4028,11004871,14578419,96.4814,0,34026384
7,1.2,0,4142,6668618,9255455,80.3881,949507,20655349
7,1.2,1,4152,6668740,10072446,86.2791,440366,20690994
7,1.2,2,4170,5940512,9784479,81.3642,0,18414559
7,1.3,0,4144,3893202,5036258,26.8808,822142,12069404
7,1.3,1,3998,3281122,4005786,25.5673,297849,10193020
7,1.3,2,4302,3694613,6567986,30.5475,0,11466377
7,1.4,0,4256,2985742,3742151,20.0927,844504,9267932
7,1.4,1,4256,2277041,3493283,17.4139,282376,7082235
7,1.4,2,4304,2203338,3911209,18.6493,0,6848206
7,1.5,0,4256,5062888,4994420,43.4919,1985873,15713255
7,1.5,1,4256,3288561,4411584,35.7084,576785,10227960
7,1.5,2,4378,3037611,5277158,36.6627,0,9442641
7,1.6,0,4686,1880370,2182757,14.8342,688464,5802945
7,1.6,1,4602,1369596,2025667,12.278,257013,4238617
7,1.6,2,4558,3326829,5910697,36.238,0,10350364
7,1.7,0,4776,1093927,1284941,7.31211,376463,3354181
7,1.7,1,4570,875704,1200688,7.02384,143182,2694182
7,1.7,2,4570,557602,914363,4.92717,0,1717290
7,1.8,0,4776,1580073,1396215,7.38777,789758,4842301
7,1.8,1,4794,1010061,1275788,6.04232,282847,3104972
7,1.8,2,4802,950072,1639760,7.06747,0,2927560
7,1.9,0,4828,331215,383300,1.76349,99294,1004671
7,1.9,1,4832,1104723,1437604,6.67617,245641,3389129
7,1.9,2,5056,794009,1406171,5.72556,0,2441932
